text,entity
"I'm looking for a new laptop, and I heard Asus Laptop offers great performance.","42,53"
Where can I find the latest model of Asus Laptop for purchase?,"37,48"
"I'm comparing different laptop brands, and Asus Laptop is on top of my list.","43,54"
"I want to buy a new laptop, and I'm considering Asus Laptop for its reliability.","48,59"
Asus Laptop seems to be a popular choice among laptop buyers.,"0,11"
"I'm in the market for a new laptop, and I'm leaning towards buying an Asus Laptop.","70,81"
"I've read positive reviews about Asus Laptop, and I'm interested in purchasing one.","33,44"
"I need a new laptop for my work, and I'm considering Asus Laptop for its performance.","53,64"
"I'm ready to invest in a new laptop, and I'm considering Asus Laptop for its features.","57,68"
Asus Laptop is on my wishlist for a new laptop purchase.,"0,11"
"I want to buy a reliable laptop, and I've heard good things about Asus Laptop.","66,77"
I'm interested in buying an Asus Laptop for its durability and performance.,"28,39"
"I'm in the market for a new laptop, and Asus Laptop seems like a promising option.","40,51"
"I'm planning to buy a new laptop, and I'm considering Asus Laptop for its specifications.","54,65"
Asus Laptop is one of the top contenders for my new laptop purchase.,"0,11"
"I want to buy a powerful laptop, and Asus Laptop is on my radar.","37,48"
"I'm looking for a reliable laptop, and I'm considering buying an Asus Laptop.","65,76"
"Asus Laptop is a leading brand in the laptop market, and I'm considering it for purchase.","0,11"
"I'm interested in buying a new laptop, and Asus Laptop is one of my top choices.","43,54"
I'm considering Asus Laptop as my next laptop purchase due to its positive reputation.,"16,27"
"I'm thinking of upgrading my phone, and I'm considering getting an iPhone.","67,73"
Where can I find the latest model of iPhone for purchase?,"37,43"
"I'm comparing different smartphone brands, and iPhone is on top of my list.","47,53"
"I want to buy a new phone, and I'm interested in getting an iPhone for its features.","60,66"
iPhone seems to be a popular choice among smartphone buyers.,"0,6"
"I'm in the market for a new phone, and I'm leaning towards getting an iPhone.","70,76"
"I've read positive reviews about iPhone, and I'm considering purchasing one.","33,39"
"I need a new phone for my personal use, and I'm considering iPhone for its performance.","60,66"
"I'm ready to invest in a new phone, and I'm considering iPhone for its specifications.","56,62"
iPhone is on my wishlist for a new smartphone purchase.,"0,6"
"I want to buy a reliable phone, and I've heard good things about iPhone.","65,71"
I'm interested in getting an iPhone for its design and features.,"29,35"
"I'm in the market for a new phone, and iPhone seems like a promising option.","39,45"
"I'm planning to buy a new phone, and I'm considering iPhone for its brand reputation.","53,59"
iPhone is one of the top contenders for my new smartphone purchase.,"0,6"
"I want to buy a powerful phone, and iPhone is on my radar.","36,42"
"I'm looking for a reliable phone, and I'm considering getting an iPhone.","65,71"
"iPhone is a leading brand in the smartphone market, and I'm considering it for purchase.","0,6"
"I'm interested in buying a new phone, and iPhone is one of my top choices.","42,48"
I'm considering iPhone as my next smartphone purchase due to its positive reputation.,"16,22"
"I'm interested in buying a new tablet, and I'm considering getting a Samsung Tablet.","69,83"
Where can I find the latest model of Samsung Tablet for purchase?,"37,51"
"I'm comparing different tablet brands, and Samsung Tablet is on top of my list.","43,57"
"I want to buy a new tablet, and I'm interested in getting a Samsung Tablet for its features.","60,74"
Samsung Tablet seems to be a popular choice among tablet buyers.,"0,14"
"I'm in the market for a new tablet, and I'm leaning towards getting a Samsung Tablet.","70,84"
"I've read positive reviews about Samsung Tablet, and I'm considering purchasing one.","33,47"
"I need a new tablet for my personal use, and I'm considering Samsung Tablet for its performance.","61,75"
"I'm ready to invest in a new tablet, and I'm considering Samsung Tablet for its specifications.","57,71"
Samsung Tablet is on my wishlist for a new tablet purchase.,"0,14"
"I want to buy a reliable tablet, and I've heard good things about Samsung Tablet.","66,80"
I'm interested in getting a Samsung Tablet for its design and features.,"28,42"
"I'm in the market for a new tablet, and Samsung Tablet seems like a promising option.","40,54"
"I'm planning to buy a new tablet, and I'm considering Samsung Tablet for its brand reputation.","54,68"
Samsung Tablet is one of the top contenders for my new tablet purchase.,"0,14"
"I want to buy a powerful tablet, and Samsung Tablet is on my radar.","37,51"
"I'm looking for a reliable tablet, and I'm considering getting a Samsung Tablet.","65,79"
"Samsung Tablet is a leading brand in the tablet market, and I'm considering it for purchase.","0,14"
"I'm interested in buying a new tablet, and Samsung Tablet is one of my top choices.","43,57"
I'm considering Samsung Tablet as my next tablet purchase due to its positive reputation.,"16,30"
